method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s_a,sample_elapsed_s_b,total_elapsed_s,tts_s,success,tts_hit_s,mts_t_hit_s,target_e,bestE_sample,q10,q50,q90,K,seed_bestE,mts_bestE,mts_elapsed_s,mts_outer_iters,tau_dcqo_s,fast_outlier
DAQO,20,1611574,16,10,0.05,0.5,0.05,0.0,1.0,100,0.742046671000935,0.9956480079999892,1.014754713000002,1.014754713000002,1,1.0147383049989003,0.01909029699891107,24,40.0,68.0,124.0,316.0,16,36,24,0.01910670500001288,3,2.0067643902000416,1
DCQO,20,1611574,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9945773130002635,2.700714393000453,2.703378979000263,2.703378979000263,1,2.700714393000453,0.0,24,24.0,48.0,148.0,432.0,16,24,24,0.0026645859998097876,1,2.0067643902000416,0
DAQO,21,1611591,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7433810599995923,0.9712266409987933,0.9996314359996177,0.9996314359996177,1,0.9996121019994462,0.028385461000652867,24,36.0,68.0,124.0,268.0,16,36,24,0.02840479500082438,4,2.0067643902000416,1
DCQO,21,1611591,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9959048489999986,2.6820230080011243,2.719188777000454,2.719188777000454,1,2.7191581150000275,0.03713510699890321,24,32.0,44.0,136.0,348.0,16,32,24,0.037165768999329885,5,2.0067643902000416,0
DAQO,22,1611608,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7445228239994321,0.9708678780007176,0.973501626001962,0.973501626001962,1,0.9708678780007176,0.0,24,24.0,60.0,116.0,212.0,16,24,24,0.002633748001244385,1,2.0067643902000416,1
DCQO,22,1611608,16,10,0.05,0.5,0.05,0.1,1.0,100,1.987434200998905,2.6386134160002257,2.641005669000151,2.641005669000151,1,2.6386134160002257,0.0,24,24.0,56.0,120.0,400.0,16,24,24,0.002392252999925404,1,2.0067643902000416,0
DAQO,23,1611625,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7440509560001374,0.9724005640000541,0.9991807869992044,0.9991807869992044,1,0.9991650370011484,0.026764473001094302,24,32.0,80.0,116.0,252.0,16,32,24,0.026780222999150283,4,2.0067643902000416,1
DCQO,23,1611625,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9965130700002192,2.632689952999499,2.6670359279996774,2.6670359279996774,1,2.667005151999547,0.03431519900004787,24,32.0,48.0,140.0,408.0,16,32,24,0.03434597500017844,5,2.0067643902000416,0
DAQO,24,1611642,16,10,0.05,0.5,0.05,0.0,1.0,100,0.738914310999462,0.9857612400010112,1.005971597000098,1.005971597000098,1,1.0059401540002,0.020178913999188808,24,40.0,76.0,128.0,264.0,16,40,24,0.020210356999086798,3,2.0067643902000416,1
DCQO,24,1611642,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9981108109986963,2.6670951659998536,2.6929830509998283,2.6929830509998283,1,2.69296019399917,0.025865027999316226,24,28.0,44.0,144.0,412.0,16,28,24,0.02588788499997463,3,2.0067643902000416,0
DAQO,25,1611659,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7451009590004105,0.9663028869999835,0.977371924000181,0.977371924000181,1,0.9773444069996913,0.011041519999707816,24,52.0,68.0,108.0,252.0,16,52,24,0.011069037000197568,2,2.0067643902000416,1
