method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DCQO,22,2011608,20,10,0.05,0.5,0.05,0.1,1.0,100,5.4014887339999405,18.51341452784026,100.0,70.0,126.0,358.0,630.0,ok,
RANDOM,22,2011608,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029136369994375855,34321.36536545315,nan,54.0,98.0,154.0,326.0,ok,
DAQO,23,2011625,20,10,0.05,0.5,0.05,0.0,1.0,100,2.181412759000523,45.84185161079643,100.0,86.0,138.0,246.0,474.0,ok,
DCQO,23,2011625,20,10,0.05,0.5,0.05,0.1,1.0,100,5.399055138999756,18.521759349641737,100.0,50.0,98.0,326.0,610.0,ok,
RANDOM,23,2011625,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002861170998585294,34950.72473803383,nan,54.0,102.0,162.0,306.0,ok,
DAQO,24,2011642,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1951302340003167,45.55538366293832,100.0,82.0,138.0,218.0,426.0,ok,
DCQO,24,2011642,20,10,0.05,0.5,0.05,0.1,1.0,100,5.407787169000585,18.491852004316403,100.0,66.0,82.0,262.0,606.0,ok,
RANDOM,24,2011642,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002865731999918353,34895.09835631841,nan,62.0,98.0,170.0,266.0,ok,
DAQO,25,2011659,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1851537929996994,45.763369297098144,100.0,66.0,122.0,198.0,426.0,ok,
DCQO,25,2011659,20,10,0.05,0.5,0.05,0.1,1.0,100,5.409202381000796,18.487013972935927,100.0,50.0,78.0,226.0,766.0,ok,
RANDOM,25,2011659,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002873133000321104,34805.21089306478,nan,58.0,94.0,190.0,342.0,ok,
