method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DCQO,17,2011523,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,17,2011523,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003355840999574866,893963.6890961324,nan,42.0,102.0,170.0,298.0,ok,
DAQO,18,2011540,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.690377165999962,448.4052132734451,2995.0,38.0,122.0,210.0,438.0,ok,
DCQO,18,2011540,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,18,2011540,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0035031490006076638,856372.3665421064,nan,38.0,102.0,166.0,294.0,ok,
DAQO,19,2011557,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.659083571001247,450.51244184174215,2996.0,46.0,118.0,214.0,434.0,ok,
DCQO,19,2011557,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,19,2011557,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003350941000462626,895270.9103460265,nan,54.0,102.0,170.0,298.0,ok,
DAQO,20,2011574,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.656855278999501,450.66324477026757,2997.0,54.0,122.0,214.0,442.0,ok,
DCQO,20,2011574,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,20,2011574,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003290108001237968,911824.1707783425,nan,50.0,102.0,170.0,302.0,ok,
DAQO,21,2011591,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.672612365999157,449.59902290844076,2990.0,42.0,122.0,214.0,442.0,ok,
DCQO,21,2011591,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,21,2011591,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0034795920000760816,862170.0475039616,nan,46.0,102.0,166.0,294.0,ok,
DAQO,22,2011608,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.6493103970005905,451.1746062198055,2991.0,42.0,122.0,214.0,446.0,ok,
DCQO,22,2011608,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,22,2011608,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0034102690005965997,879696.0003668842,nan,46.0,98.0,166.0,294.0,ok,
DAQO,23,2011625,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.643008761999226,451.6025956734015,2994.0,58.0,126.0,214.0,430.0,ok,
DCQO,23,2011625,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,23,2011625,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032781679983600043,915145.288923824,nan,42.0,102.0,170.0,302.0,ok,
DAQO,24,2011642,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.677246850998927,449.2869691572351,2992.0,50.0,122.0,214.0,454.0,ok,
DCQO,24,2011642,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,24,2011642,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003568226999050239,840753.6854573756,nan,46.0,102.0,170.0,290.0,ok,
DAQO,25,2011659,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.640948757998558,451.7426815538533,2992.0,62.0,122.0,214.0,438.0,ok,
DCQO,25,2011659,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,25,2011659,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033218240005226107,903118.2866786503,nan,46.0,102.0,170.0,286.0,ok,
DAQO,26,2011676,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.615256974999284,453.497122082748,2991.0,42.0,122.0,214.0,458.0,ok,
DCQO,26,2011676,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,26,2011676,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033187310000357684,903959.9774635747,nan,46.0,102.0,166.0,294.0,ok,
DAQO,27,2011693,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.638178347999201,451.9312140663144,2994.0,50.0,118.0,214.0,446.0,ok,
DCQO,27,2011693,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,27,2011693,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032555430007050745,921505.2602132026,nan,46.0,102.0,170.0,290.0,ok,
DAQO,28,2011710,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.624603181000566,452.8573135677066,2996.0,58.0,118.0,218.0,450.0,ok,
DCQO,28,2011710,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
